subjectID,age,gender,block_i,trial_i,go_cue,block,fixation_duration,blank_interval,response,rt,correct,inter_trial_interval,focus,Fullscreen,time_elapsed,browser_name,browser_version,os_name,os_version,tablet,mobile,screen_resolution,window_resolution
8krj,null,null,0,1,left,practice,600,0,leftarrow,607,TRUE,1500,focus,yes,59750,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,2,right,practice,600,0,rightarrow,509,TRUE,1500,focus,yes,64626,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,3,left,practice,600,0,leftarrow,429,TRUE,1200,focus,yes,68816,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,4,right,practice,600,0,rightarrow,486,TRUE,1100,focus,yes,72859,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,5,left,practice,600,0,leftarrow,443,TRUE,1000,focus,yes,76662,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,6,right,practice,600,0,rightarrow,477,TRUE,1500,focus,yes,81498,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,7,left,practice,600,0,leftarrow,424,TRUE,1400,focus,yes,86083,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,8,right,practice,600,0,rightarrow,530,TRUE,1000,focus,yes,89972,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,9,left,practice,600,0,leftarrow,413,TRUE,1400,focus,yes,94544,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,10,right,practice,600,0,rightarrow,563,TRUE,1200,focus,yes,98865,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,11,left,practice,600,0,leftarrow,402,TRUE,1000,focus,yes,102625,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,12,right,practice,600,0,rightarrow,387,TRUE,1500,focus,yes,107369,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,13,left,practice,600,0,undefined,-600,FALSE,1400,focus,yes,112530,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,14,right,practice,600,0,undefined,-600,FALSE,1400,focus,yes,117690,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,15,left,practice,600,0,leftarrow,509,TRUE,1100,focus,yes,121756,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,16,right,practice,600,0,rightarrow,282,TRUE,1100,focus,yes,125598,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,17,right,practice,600,0,rightarrow,472,TRUE,1400,focus,yes,130227,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,18,left,practice,600,0,leftarrow,494,TRUE,1400,focus,yes,134880,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,19,left,practice,600,0,leftarrow,847,TRUE,1500,focus,yes,140083,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,0,20,right,practice,600,0,rightarrow,302,TRUE,1400,focus,yes,144545,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,21,left,fixed-blank,300,300,leftarrow,431,TRUE,1300,focus,yes,163445,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,22,right,fixed-blank,300,300,rightarrow,332,TRUE,1200,focus,yes,166783,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,23,right,fixed-blank,300,300,rightarrow,289,TRUE,1200,focus,yes,170079,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,24,left,fixed-blank,300,300,leftarrow,311,TRUE,1500,focus,yes,173998,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,25,right,fixed-blank,300,300,rightarrow,412,TRUE,1500,focus,yes,178016,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,26,left,fixed-blank,300,300,leftarrow,319,TRUE,1300,focus,yes,181542,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,27,left,fixed-blank,300,300,rightarrow,240,FALSE,1300,focus,yes,184990,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,28,right,fixed-blank,300,300,rightarrow,310,TRUE,1100,focus,yes,188106,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,29,left,fixed-blank,300,300,leftarrow,336,TRUE,1500,focus,yes,192048,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,30,right,fixed-blank,300,300,rightarrow,619,TRUE,1000,focus,yes,195272,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,31,left,fixed-blank,300,300,leftarrow,304,TRUE,1300,focus,yes,198783,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,32,right,fixed-blank,300,300,rightarrow,392,TRUE,1100,focus,yes,201982,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,33,right,fixed-blank,300,300,rightarrow,485,TRUE,1500,focus,yes,206073,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,34,left,fixed-blank,300,300,leftarrow,527,TRUE,1100,focus,yes,209409,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,35,left,fixed-blank,300,300,leftarrow,468,TRUE,1400,focus,yes,213283,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,36,right,fixed-blank,300,300,rightarrow,304,TRUE,1500,focus,yes,217193,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,37,right,fixed-blank,300,300,rightarrow,570,TRUE,1500,focus,yes,221371,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,38,left,fixed-blank,300,300,leftarrow,319,TRUE,1300,focus,yes,224896,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,39,right,fixed-blank,300,300,rightarrow,336,TRUE,1300,focus,yes,228438,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,40,left,fixed-blank,300,300,leftarrow,321,TRUE,1400,focus,yes,232165,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,41,right,fixed-blank,300,300,rightarrow,375,TRUE,1300,focus,yes,235746,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,42,left,fixed-blank,300,300,leftarrow,291,TRUE,1100,focus,yes,238844,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,43,right,fixed-blank,300,300,rightarrow,367,TRUE,1400,focus,yes,242616,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,44,left,fixed-blank,300,300,leftarrow,242,TRUE,1500,focus,yes,246466,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,45,left,fixed-blank,300,300,leftarrow,400,TRUE,1200,focus,yes,249873,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,46,right,fixed-blank,300,300,rightarrow,309,TRUE,1000,focus,yes,252788,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,47,right,fixed-blank,300,300,rightarrow,374,TRUE,1500,focus,yes,256769,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,48,left,fixed-blank,300,300,leftarrow,326,TRUE,1500,focus,yes,260700,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,49,left,fixed-blank,300,300,leftarrow,376,TRUE,1200,focus,yes,264082,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,50,right,fixed-blank,300,300,rightarrow,346,TRUE,1200,focus,yes,267434,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,51,left,fixed-blank,300,300,leftarrow,415,TRUE,1500,focus,yes,271455,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,52,right,fixed-blank,300,300,rightarrow,778,TRUE,1100,focus,yes,275039,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,53,left,fixed-blank,300,300,leftarrow,292,TRUE,1400,focus,yes,278738,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,54,right,fixed-blank,300,300,rightarrow,282,TRUE,1000,focus,yes,281626,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,55,right,fixed-blank,300,300,rightarrow,389,TRUE,1200,focus,yes,285020,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,56,left,fixed-blank,300,300,leftarrow,278,TRUE,1100,focus,yes,288102,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,57,right,fixed-blank,300,300,rightarrow,320,TRUE,1400,focus,yes,291827,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,58,left,fixed-blank,300,300,leftarrow,272,TRUE,1100,focus,yes,294905,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,59,right,fixed-blank,300,300,rightarrow,385,TRUE,1100,focus,yes,298097,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,60,left,fixed-blank,300,300,leftarrow,391,TRUE,1300,focus,yes,301694,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,61,right,fixed-blank,300,300,rightarrow,244,TRUE,1500,focus,yes,305544,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,62,left,fixed-blank,300,300,leftarrow,288,TRUE,1400,focus,yes,309238,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,63,left,fixed-blank,300,300,rightarrow,240,FALSE,1200,focus,yes,312484,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,64,right,fixed-blank,300,300,rightarrow,288,TRUE,1400,focus,yes,316178,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,65,left,fixed-blank,300,300,leftarrow,291,TRUE,1000,focus,yes,319074,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,66,right,fixed-blank,300,300,rightarrow,287,TRUE,1000,focus,yes,321967,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,67,left,fixed-blank,300,300,leftarrow,371,TRUE,1400,focus,yes,325744,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,68,right,fixed-blank,300,300,rightarrow,388,TRUE,1100,focus,yes,328938,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,69,right,fixed-blank,300,300,rightarrow,416,TRUE,1300,focus,yes,332561,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,1,70,left,fixed-blank,300,300,leftarrow,264,TRUE,1300,focus,yes,336030,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,71,right,varied,600,0,rightarrow,295,TRUE,1500,focus,yes,347883,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,72,left,varied,200,0,leftarrow,370,TRUE,1300,focus,yes,351059,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,73,right,varied,600,0,rightarrow,298,TRUE,1300,focus,yes,354562,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,74,left,varied,600,0,leftarrow,332,TRUE,1300,focus,yes,358101,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,75,right,varied,400,0,rightarrow,272,TRUE,1400,focus,yes,361580,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,76,left,varied,1000,0,leftarrow,316,TRUE,1500,focus,yes,365902,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,77,right,varied,600,0,rightarrow,344,TRUE,1300,focus,yes,369452,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,78,left,varied,400,0,leftarrow,413,TRUE,1300,focus,yes,372872,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,79,right,varied,200,0,rightarrow,330,TRUE,1200,focus,yes,375808,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,80,left,varied,1000,0,leftarrow,268,TRUE,1200,focus,yes,379482,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,81,right,varied,1000,0,rightarrow,380,TRUE,1100,focus,yes,383068,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,82,left,varied,1000,0,leftarrow,307,TRUE,1100,focus,yes,386582,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,83,right,varied,800,0,rightarrow,298,TRUE,1400,focus,yes,390486,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,84,left,varied,800,0,leftarrow,523,TRUE,1500,focus,yes,394817,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,85,right,varied,1000,0,rightarrow,338,TRUE,1300,focus,yes,398761,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,86,left,varied,600,0,leftarrow,341,TRUE,1000,focus,yes,401707,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,87,left,varied,1000,0,leftarrow,500,TRUE,1000,focus,yes,405213,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,88,right,varied,200,0,rightarrow,436,TRUE,1300,focus,yes,408457,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,89,left,varied,600,0,leftarrow,313,TRUE,1000,focus,yes,411377,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,90,right,varied,600,0,rightarrow,338,TRUE,1100,focus,yes,414521,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,91,left,varied,800,0,leftarrow,351,TRUE,1000,focus,yes,417679,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,92,right,varied,400,0,rightarrow,421,TRUE,1500,focus,yes,421506,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,93,right,varied,1000,0,rightarrow,416,TRUE,1000,focus,yes,424930,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,94,left,varied,400,0,leftarrow,327,TRUE,1200,focus,yes,428064,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,95,left,varied,800,0,leftarrow,399,TRUE,1200,focus,yes,431668,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,96,right,varied,400,0,rightarrow,405,TRUE,1400,focus,yes,435280,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,97,right,varied,200,0,rightarrow,358,TRUE,1500,focus,yes,438844,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,98,left,varied,800,0,leftarrow,383,TRUE,1200,focus,yes,442432,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,99,left,varied,600,0,rightarrow,284,FALSE,1400,focus,yes,446123,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,100,right,varied,800,0,rightarrow,327,TRUE,1000,focus,yes,449256,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,101,right,varied,400,0,rightarrow,403,TRUE,1000,focus,yes,452067,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,102,left,varied,800,0,leftarrow,323,TRUE,1500,focus,yes,456196,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,103,right,varied,800,0,rightarrow,361,TRUE,1200,focus,yes,459765,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,104,left,varied,1000,0,leftarrow,338,TRUE,1200,focus,yes,463508,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,105,left,varied,800,0,leftarrow,382,TRUE,1000,focus,yes,466697,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,106,right,varied,200,0,rightarrow,329,TRUE,1200,focus,yes,469631,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,107,left,varied,800,0,leftarrow,363,TRUE,1300,focus,yes,473400,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,108,right,varied,1000,0,rightarrow,351,TRUE,1400,focus,yes,477557,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,109,left,varied,600,0,leftarrow,304,TRUE,1400,focus,yes,481268,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,110,right,varied,600,0,rightarrow,518,TRUE,1500,focus,yes,485393,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,111,left,varied,800,0,leftarrow,334,TRUE,1500,focus,yes,489533,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,112,right,varied,800,0,rightarrow,636,TRUE,1300,focus,yes,493576,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,113,left,varied,200,0,leftarrow,494,TRUE,1100,focus,yes,496477,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,114,right,varied,400,0,rightarrow,340,TRUE,1400,focus,yes,500022,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,115,left,varied,400,0,leftarrow,330,TRUE,1500,focus,yes,503759,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,116,right,varied,600,0,rightarrow,328,TRUE,1400,focus,yes,507494,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,117,right,varied,400,0,rightarrow,410,TRUE,1400,focus,yes,511110,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,118,left,varied,400,0,leftarrow,295,TRUE,1300,focus,yes,514412,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,119,right,varied,200,0,rightarrow,341,TRUE,1300,focus,yes,517560,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,2,120,left,varied,600,0,leftarrow,374,TRUE,1500,focus,yes,521541,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,3,121,right,fixed-filled,600,0,undefined,-600,FALSE,1000,focus,yes,595623,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,3,122,left,fixed-filled,600,0,leftarrow,395,TRUE,1000,focus,yes,599628,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,3,123,right,fixed-filled,600,0,rightarrow,307,TRUE,1100,focus,yes,602742,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,3,124,left,fixed-filled,600,0,leftarrow,333,TRUE,1500,focus,yes,606682,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,3,125,left,fixed-filled,600,0,leftarrow,364,TRUE,1100,focus,yes,609853,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
8krj,null,null,3,126,right,fixed-filled,600,0,rightarrow,507,TRUE,1100,focus,yes,613167,Safari,13.1,macOS,10.15.7,undefined,undefined,1440 x 900,1440 x 900
